entrynum,smiles,pka_type,pka_value,temp,remarks,method,ref,ref_remarks,entry_remarks,original_iupac_name,original_iupac_nickname,source,uniqueid,pressure,acidity_label
2,CN,pKAH1,10.657,25,I=0.03 to 1.5,E1b,H31,,,"methane, amino-",,perrin,perrin0002,,AH
2,CN,pKAH1,11.496,0,I=0.05 to 0.2,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, amino-",,perrin,perrin0002,,AH
2,CN,pKAH1,11.13,10,I=0.05 to 0.2,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, amino-",,perrin,perrin0002,,AH
2,CN,pKAH1,10.787,20,I=0.05 to 0.2,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, amino-",,perrin,perrin0002,,AH
2,CN,pKAH1,10.466,30,I=0.05 to 0.2,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, amino-",,perrin,perrin0002,,AH
2,CN,pKAH1,10.161,40,I=0.05 to 0.2,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, amino-",,perrin,perrin0002,,AH
2,CN,pKAH1,9.876,50,I=0.05 to 0.2,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, amino-",,perrin,perrin0002,,AH
18,CN(C)C,pKAH1,10.355,0,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, dimethylamino-",,perrin,perrin0018,,AH
18,CN(C)C,pKAH1,10.128,10,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, dimethylamino-",,perrin,perrin0018,,AH
18,CN(C)C,pKAH1,9.907,20,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, dimethylamino-",,perrin,perrin0018,,AH
18,CN(C)C,pKAH1,9.692,30,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, dimethylamino-",,perrin,perrin0018,,AH
18,CN(C)C,pKAH1,9.477,40,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, dimethylamino-",,perrin,perrin0018,,AH
18,CN(C)C,pKAH1,9.27,50,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, dimethylamino-",,perrin,perrin0018,,AH
18,CN(C)C,pKAH1,9.752,25,"(m), I=0.1 to 1.5",E1b,H31,,,"methane, dimethylamino-",,perrin,perrin0018,,AH
18,CN(C)C,pKAH1,9.81,25,I<0.012,E1cg,M15,,,"methane, dimethylamino-",,perrin,perrin0018,,AH
26,CNC,pKAH1,11.553,0,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, methylamino-",,perrin,perrin0026,,AH
26,CNC,pKAH1,11.229,10,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, methylamino-",,perrin,perrin0026,,AH
26,CNC,pKAH1,10.922,20,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, methylamino-",,perrin,perrin0026,,AH
26,CNC,pKAH1,10.63,30,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, methylamino-",,perrin,perrin0026,,AH
26,CNC,pKAH1,10.352,40,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, methylamino-",,perrin,perrin0026,,AH
26,CNC,pKAH1,10.088,50,(c) I=0.05 to 0.20,E2b,E38,Thermodynamic quantities are derived from the results,,"methane, methylamino-",,perrin,perrin0026,,AH
26,CNC,pKAH1,10.732,25,"(m), I=0.03 to 1.5",E1b,H31,,,"methane, methylamino-",,perrin,perrin0026,,AH
36,CCN,pKAH1,10.807,20,I=0.05 to 0.2,E2b,E31,Thermodynamic quantities are derived from the results,,"ethane, amino-",,perrin,perrin0036,,AH
36,CCN,pKAH1,10.158,40,I=0.05 to 0.2,E2b,E31,Thermodynamic quantities are derived from the results,,"ethane, amino-",,perrin,perrin0036,,AH
53,NCCO,pKAH1,10.3064,0,"(m), I=0.007 to 0.08","E1ch, R4",B32,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
53,NCCO,pKAH1,10.1341,5,"(m), I=0.007 to 0.08","E1ch, R4",B32,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
53,NCCO,pKAH1,9.9654,10,"(m), I=0.007 to 0.08","E1ch, R4",B32,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
53,NCCO,pKAH1,9.8037,15,"(m), I=0.007 to 0.08","E1ch, R4",B32,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
53,NCCO,pKAH1,9.6467,20,"(m), I=0.007 to 0.08","E1ch, R4",B32,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
53,NCCO,pKAH1,9.498,25,"(m), I=0.007 to 0.08","E1ch, R4",B32,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
53,NCCO,pKAH1,9.3485,30,"(m), I=0.007 to 0.08","E1ch, R4",B32,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
53,NCCO,pKAH1,9.2082,35,"(m), I=0.007 to 0.08","E1ch, R4",B32,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
53,NCCO,pKAH1,9.0702,40,"(m), I=0.007 to 0.08","E1ch, R4",B32,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
53,NCCO,pKAH1,8.9401,45,"(m), I=0.007 to 0.08","E1ch, R4",B32,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
53,NCCO,pKAH1,8.813,50,"(m), I=0.007 to 0.08","E1ch, R4",B32,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
53,NCCO,pKAH1,9.5,25,(m) κ=0.5,"C1, K1c",S50,,,"ethane, 1-amino-2-hydroxy-",,perrin,perrin0053,,AH
104,NCCN,pKAH1,10.712,0,I=0.10 to 0.25 (pK1) 0.07 to 0.30 (pK2),E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH2,7.564,0,I=0.10 to 0.25 (pK1) 0.07 to 0.30 (pK2),E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH1,10.383,10,I=0.10 to 0.25 (pK1) 0.07 to 0.30 (pK2),E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH2,7.266,10,I=0.10 to 0.25 (pK1) 0.07 to 0.30 (pK2),E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH1,10.075,20,I=0.10 to 0.25 (pK1) 0.07 to 0.30 (pK2),E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH2,6.985,20,I=0.10 to 0.25 (pK1) 0.07 to 0.30 (pK2),E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH1,9.928,25,(Interpolated),E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH2,6.848,25,(Interpolated),E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH1,9.784,30,"I=0.10 to 0.25 (pK1), 0.07 to 0.30 (pK2)",E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH2,6.718,30,"I=0.10 to 0.25 (pK1), 0.07 to 0.30 (pK2)",E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH1,9.51,40,"I=0.10 to 0.25 (pK1), 0.07 to 0.30 (pK2)",E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH2,6.463,40,"I=0.10 to 0.25 (pK1), 0.07 to 0.30 (pK2)",E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH1,9.252,50,"I=0.10 to 0.25 (pK1), 0.07 to 0.30 (pK2)",E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH2,6.221,50,"I=0.10 to 0.25 (pK1), 0.07 to 0.30 (pK2)",E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH1,9.005,60,"I=0.10 to 0.25 (pK1), 0.07 to 0.30 (pK2)",E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
104,NCCN,pKAH2,5.99,60,"I=0.10 to 0.25 (pK1), 0.07 to 0.30 (pK2)",E2b,E36,Thermodynamic quantities are derived from the results,,"ethane, 1,2-diamino-",,perrin,perrin0104,,AH
119,CCNCC,pKAH1,11.09,20,(c) I=0.05 to 40,E2b,E31,Thermodynamic quantities are derived from the results,,"ethane, ethylamino-",,perrin,perrin0119,,AH
119,CCNCC,pKAH1,10.489,40,(c) I=0.05 to 40,E2b,E31,Thermodynamic quantities are derived from the results,,"ethane, ethylamino-",,perrin,perrin0119,,AH
121,OCCNCC(O)O,pKAH1,8.2906,0,"(m) I=0.004 to 0.1. From ref and extrapolation to m=0",E1ch,B73,Thermodynamic quantities are derived from the results,- pK = 2.524 + 1563/T (T in K); t=10 to 50 deg. (ref: W12),"ethane, 1-hydroxy-2-(2,2'-bishydroxyethyl)amino-",,perrin,perrin0121,,AH
121,OCCNCC(O)O,pKAH1,8.1734,5,"(m) I=0.004 to 0.1. From ref and extrapolation to m=0",E1ch,B73,Thermodynamic quantities are derived from the results,- pK = 2.524 + 1563/T (T in K); t=10 to 50 deg. (ref: W12),"ethane, 1-hydroxy-2-(2,2'-bishydroxyethyl)amino-",,perrin,perrin0121,,AH
121,OCCNCC(O)O,pKAH1,8.0674,10,"(m) I=0.004 to 0.1. From ref and extrapolation to m=0",E1ch,B73,Thermodynamic quantities are derived from the results,- pK = 2.524 + 1563/T (T in K); t=10 to 50 deg. (ref: W12),"ethane, 1-hydroxy-2-(2,2'-bishydroxyethyl)amino-",,perrin,perrin0121,,AH
121,OCCNCC(O)O,pKAH1,7.9632,15,"(m) I=0.004 to 0.1. From ref and extrapolation to m=0",E1ch,B73,Thermodynamic quantities are derived from the results,- pK = 2.524 + 1563/T (T in K); t=10 to 50 deg. (ref: W12),"ethane, 1-hydroxy-2-(2,2'-bishydroxyethyl)amino-",,perrin,perrin0121,,AH
121,OCCNCC(O)O,pKAH1,7.8611,20,"(m) I=0.004 to 0.1. From ref and extrapolation to m=0",E1ch,B73,Thermodynamic quantities are derived from the results,- pK = 2.524 + 1563/T (T in K); t=10 to 50 deg. (ref: W12),"ethane, 1-hydroxy-2-(2,2'-bishydroxyethyl)amino-",,perrin,perrin0121,,AH
121,OCCNCC(O)O,pKAH1,7.7624,25,"(m) I=0.004 to 0.1. From ref and extrapolation to m=0",E1ch,B73,Thermodynamic quantities are derived from the results,- pK = 2.524 + 1563/T (T in K); t=10 to 50 deg. (ref: W12),"ethane, 1-hydroxy-2-(2,2'-bishydroxyethyl)amino-",,perrin,perrin0121,,AH
121,OCCNCC(O)O,pKAH1,7.6661,30,"(m) I=0.004 to 0.1. From ref and extrapolation to m=0",E1ch,B73,Thermodynamic quantities are derived from the results,- pK = 2.524 + 1563/T (T in K); t=10 to 50 deg. (ref: W12),"ethane, 1-hydroxy-2-(2,2'-bishydroxyethyl)amino-",,perrin,perrin0121,,AH
121,OCCNCC(O)O,pKAH1,7.5707,35,"(m) I=0.004 to 0.1. From ref and extrapolation to m=0",E1ch,B73,Thermodynamic quantities are derived from the results,- pK = 2.524 + 1563/T (T in K); t=10 to 50 deg. (ref: W12),"ethane, 1-hydroxy-2-(2,2'-bishydroxyethyl)amino-",,perrin,perrin0121,,AH
121,OCCNCC(O)O,pKAH1,7.4773,40,"(m) I=0.004 to 0.1. From ref and extrapolation to m=0",E1ch,B73,Thermodynamic quantities are derived from the results,- pK = 2.524 + 1563/T (T in K); t=10 to 50 deg. (ref: W12),"ethane, 1-hydroxy-2-(2,2'-bishydroxyethyl)amino-",,perrin,perrin0121,,AH
121,OCCNCC(O)O,pKAH1,7.3875,45,"(m) I=0.004 to 0.1. From ref and extrapolation to m=0",E1ch,B73,Thermodynamic quantities are derived from the results,- pK = 2.524 + 1563/T (T in K); t=10 to 50 deg. (ref: W12),"ethane, 1-hydroxy-2-(2,2'-bishydroxyethyl)amino-",,perrin,perrin0121,,AH
121,OCCNCC(O)O,pKAH1,7.2992,50,"(m) I=0.004 to 0.1. From ref and extrapolation to m=0",E1ch,B73,Thermodynamic quantities are derived from the results,- pK = 2.524 + 1563/T (T in K); t=10 to 50 deg. (ref: W12),"ethane, 1-hydroxy-2-(2,2'-bishydroxyethyl)amino-",,perrin,perrin0121,,AH
122,OCCNCCO,pKAH1,9.55,0,"(m), I=0.009 to 0.1","E1ch, R4",B88,Thermodynamic quantities are derived from the results,- pK = 18.082 – 561.2/T-0.02427T (T in K) t=5–55 deg. C,"ethane, 1-hydroxy-2-(2-hydroxyethyl)amino-",,perrin,perrin0122,,AH
